,Name,CID,Melting Point
2479,"1,4-BENZENEDICARBONYL DICHLORIDE",[7488],82-84 °C
2480,4-NITROPHENETOLE,[7495],60 °C
2481,3-CYCLOHEXENE-1-CARBOXALDEHYDE,[7508],2 °C
2482,3-PYRIDINECARBONITRILE,[79],51 °C
2483,(HYDROXYIMINO)CYCLOHEXANE,[7517],89-90 °C
2484,2-PYRIDINECARBONITRILE,[7522],29 °C
2485,"4,4'-DIOCTYLDIPHENYLAMINE",[7569],80-90 °C
2486,4-(ISOPROPYLAMINO)DIPHENYLAMINE,[7573],75 °C
2487,"N,N'-DI-SEC-BUTYL-P-PHENYLDIAMINE",[7589],18 °C
2488,ETHYL N-PHENYLCARBAMATE,[7591],52-53 °C
2489,"N,N'-DIPHENYLGUANIDINE",[7594],150 °C
2490,DIPHENYL CARBONATE,[7597],80-81 °C
2491,"3,4-DICHLOROPHENYL ISOCYANATE",[7607],43 °C
2492,"4,4'-DITHIODIMORPHOLINE",[7648],125 °C
2493,(2-BROMOETHYL)BENZENE,[7666],-67.5 °C
2494,N-PROPYLBENZENE,[7668],-99.5 °C
2495,N-ETHYLANILINE,[7670],-63.5 °C
2496,N-PHENYLFORMAMIDE,[7671],46.6-47.5 °C
2497,PHENYL ISOCYANATE,[7672],Freezing point: -30 °C
2498,2-PYRIDINEETHANOL,[7675],-7.8 °C
2499,4-Nonylphenol,[1752],42 °C
2500,4-METHYLBENZALDEHYDE,[7725],-6 °C
2501,1-METHOXY-4-METHYLBENZENE,[7731],-32 °C
2502,"1,4-CYCLOHEXANEDIMETHANOL",[7735],"43 °C (cis-isomer), 67 °C (trans-isomer)"
2503,"2-(N,N-DIETHYLAMINO)ETHYL METHACRYLATE",[61012],-65.5 °C (freezing point)
2504,ETHYL PROPIONATE,[7749],-73.9 °C
2505,12-Hydroxyoctadecanoic acid,[7789],82 °C
2506,BUTYRIC ANHYDRIDE,[7798],-75 °C
2507,DIMETHYL SUCCINATE,[7820],19.5 °C
2508,2-CYANOETHYL ACRYLATE,[7825],Freezing point: -16.9 °C
2509,2-ETHOXYETHYL ACRYLATE,[7827],-47 °C
2510,GLYCIDYL ACRYLATE,[7836],Freezing point: -41.5 °C
2511,"2,4,4-TRIMETHYL-2-PENTENE",[7869],-106.3 °C
2512,HEXAMETHYLDISILOXANE,[24764],-66 °C
2513,3-MERCAPTOPROPIONIC ACID,[6514],16.8 °C
2514,IMIDODICARBONIC DIAMIDE,[7913],"190 °C, DECOMP"
2515,"1-PROPEN-2-OL, ACETATE",[7916],-92.9 °C
2516,"1,3-BENZENEDIAMINE",[7935],62-63 °C
2517,"3,5-DIMETHYLPHENOL",[7948],64 °C
2518,4-METHYLPYRIDINE,[7963],3.68 °C
2519,THIOPHENOL,[7969],-14.87 °C
2520,DIHEXYL AZELATE,[7985],FP: -10 °C
2521,n-PENTANOIC ACID,[7991],-34.5 °C
2522,"N,N-DIMETHYL-1,3-PROPANEDIAMINE",[7993],FP: -70 °C
2523,1-BROMO-3-CHLOROPROPANE,[8006],-58.90 °C
2524,"2,5-DIMETHYL-2,5-HEXANEDIOL",[8031],92 °C
2525,"N,N,N',N'-TETRAMETHYL-1,2-ETHANEDIAMINE",[8037],FP: -55 °C
2526,N-DECYL N-OCTYL ADIPATE,[8043],FP: -50 °C
2527,"N,N'-ETHYLENE DISTEARYLAMIDE",[8044],HARD; HIGH MELTING POINT
2528,METHYL DECANOATE,[8050],-18 °C
2529,"1,2-BIS(2-CHLOROETHOXY)ETHANE",[8171],FP: -31.5 °C
2530,BIS(2-BUTOXYETHYL) PHTHALATE,[8345],FP: -55 °C
2531,1-AMINO-2-CHLORO-4-NITROBENZENE,[8492],108 °C
2532,N-Chlorosuccinimide,[31398],150 °C
2533,"2,4,7-TRINITRO-9H-FLUOREN-9-ONE",[8521],175.2-176 °C
2534,"1,3-DIPHENYL-1-TRIAZENE",[8689],98 °C
2535,"4-(1,1,3,3-Tetramethylbutyl)phenol",[8814],85 °C
2536,DIETHYL ADIPATE,[8844],-19.8 °C
2537,N-DODECYL METHACRYLATE,[8906],-20 °C
2538,"1,2-EPOXYCYCLOHEXANE",[9246],GREATER THAN -10 °C
2539,"2,2'-BIPYRIDINE",[1474],72 °C
2540,"1,4-EPOXY-P-MENTHANE",[10106],1 °C
2541,"1,1-DIMETHOXYETHANE",[10795],-113.2 °C
2542,"2,4-DICHLOROANILINE",[11123],63-64 °C
2543,ALUMINUM ISOPROPYLATE,[11143],119 °C
2544,ALUMINUM ETHYLATE,"[11153, 70700059]",140 °C ... slowly solidifies to a whole white solid
2545,"1-CHLORO-2,6-DINITROBENZENE",[11814],86-87 °C
2546,"2,3-DICHLOROANILINE",[11844],24 °C
2547,"4-METHYL-2,6-DINITROPHENOL",[11872],85 °C
2548,"3,5-DICHLOROANILINE",[12281],51-53 °C
2549,"3,4,5,6-TETRABROMOPHTHALIC ANHYDRIDE",[12443],279.5-280.5 °C
2550,4-CHLORO-3-NITROANILINE,[12477],103 °C
2551,2-HYDROXYETHYL METHACRYLATE,[13360],FP: -12 °C
2552,Cobalt monosulfide,[14832],1117 °C
2553,VINYLSTYRENE,[66666],Freezing point: -88 °F (-67 °C)
2554,LAURAMINE OXIDE,[15433],130.5 °C
2555,"2-BROMO-4,6-DINITROANILINE",[15752],153 °C
2556,"2,2-DIMETHYLTRIMETHYLENE ACRYLATE",[16680],6 °C
2557,OCTACHLORONAPHTHALENE,[16692],185-197 °C
2558,2-(DIETHYLAMINO)ETHYL ACRYLATE,[17050],< -60 °C
2559,"N,N-DIMETHYLAMINOETHYL METHACRYLATE",[17869],-30 °C (freezing point)
2560,METHYL 3-CHLOROBENZOATE,[17946],21 °C
2561,2-METHYL-5-NITROBENZENESULFONIC ACID,[8458],133.5 °C
2562,DIALLYLAMINE,[31279],-88.4 °C
2563,DIMETHYLSTEARYLAMINE,[15365],FREEZING POINT: 22.89 °C
2564,BIS(2-(2-BUTOXYETHOXY)ETHYL) ADIPATE,[8836],-47 °C
2565,DI-2-ETHYLHEXYL MALEATE,[5365125],-60 °C
2566,"1,3-DICHLOROPROPANE",[8881],-99.5 °C
2567,"OLEIC ACID, BUTYL ESTER",[5354342],-26.4 °C
2568,FLUORANTHENE,[9154],110.2 °C
2569,ALUMINUM DISTEARATE,[16682938],145 °C
2570,1-BUTYL-3-SULFANILYLUREA,[9564],144-145 °C
2571,ETHYLENE SULFIDE,[9865],-109 °C
2572,FLUORENONE,[10241],84 °C
2573,C.I. SOLVENT ORANGE 3,"[10317, 10771]",118-118.5 °C
2574,O-AMINOACETOPHENONE,[11086],20 °C
2575,"2-METHYL-1,4-BENZOQUINONE",[11122],69 °C
2576,3-BROMOPROPANOIC ACID,[11553],62.5 °C
2577,N-BUTYLUREA,[11595],96 °C
2578,N-BUTYL CARBAMATE,[11596],53 °C
2579,"2,3-DINITROTOLUENE",[11761],63 °C
2580,PENTABROMOPHENOL,[11852],229.5 °C
2581,"3,4-DINITROTOLUENE",[11883],58.0 °C
2582,4-METHOXYBIPHENYL,[11943],90 °C
2583,"2,5-DINITROTOLUENE",[12075],52.5 °C
2584,HEXANAMIDE,[12332],101 °C
2585,HEXANEDIAMIDE,[12364],220 °C
2586,Tetramethyl silicate,[12682],-1 °C
2587,"N,N-DIETHYLACETAMIDE",[12703],LESS THAN 20 °C
2588,DIETHADION,[12798],97-98 °C
2589,"2,3-DIMETHYLMALEIC ANHYDRIDE",[13010],96 °C
2590,"3,4-EPOXY-1-BUTENE",[13586],-135 deg
2591,"4,4'-DINITROBIPHENYL",[15216],240-243 °C
2592,4-HYDROXYAZOBENZENE,[15529],155-157 °C
2593,CADMIUM STEARATE,[16681],105-115 °C
2594,"1-CHLORO-2,4-DINITRONAPHTHALENE",[16987],146.5 °C
2595,AURAMINE HYDROCHLORIDE,[17170],>250 °C (dec)
2596,"BETA,BETA'-IMINODIPROPIONITRILE",[8149],-5.50 °C
2597,"1,4-DIHYDROXY-2-BUTENE","[8065, 175854, 643790]",7 °C (45 °F)
2598,2-(ETHYLTHIO)ETHANOL,[8075],-100 °C
2599,GLUTARIC ACID,[743],97.5-98 °C
2600,DIISOBUTYLAMINE,[8085],-73.5 °C
2601,"OCTANOIC ACID, METHYL ESTER",[8091],-40 °C
2602,2-OCTANONE,[8093],-16 °C
2603,HEPTANOIC ACID,[8094],-7.17 °C
2604,TRIGLYCOL DIACETATE,[8098],-50 °C
2605,N-BUTYL ISOCYANATE,[8110],-75 °C
2606,"1,5-CYCLOOCTADIENE","[8135, 82916, 10937607]",-70 TO -69 °C
2607,METHYL DODECANOATE,[8139],5.2 °C
2608,1-CHLOROOCTANE,[8142],-57.8 °C
2609,1-OCTANETHIOL,[8144],-49.2 °C
2610,NONANOIC ACID,[8158],12.4 °C
2611,2-(2-ETHOXYETHOXY)ETHYL ACETATE,[8165],-25 °C
2612,"1,4-DIAZABICYCLO(2.2.2)OCTANE",[9237],158 °C
2613,CYCLODODECANE,[9268],60.4 °C
2614,GLYOXYLIC ACID,[760],98 °C
2615,(Z)-9-OCTADECENAMIDE,[5283387],76 °C
2616,"3,5-DICHLOROSALICYLIC ACID",[9445],220-221 °C
2617,"1,1'-Thiobisethane",[9609],-103.9 °C
2618,"1,1-DICHLORO-1,2,2,2-TETRAFLUOROETHANE",[9775],-56.6 °C
2619,DODECANOYL CHLORIDE,[8166],-17 °C
2620,2-HEXOXYETHANOL,[8170],-45.1 °C
2621,METHYL PALMITATE,[8181],30 °C
2622,DIETHYLENE GLYCOL HEXYL ETHER,[8199],-28 °C
2623,METHYL OLEATE,[5364509],-19.9 °C
2624,HEXADECANOYL CHLORIDE,[8206],11-12 °C
2625,1-TRIDECANOL,[8207],32.5 °C
2626,STEAROYL CHLORIDE,[8212],23 °C
2627,ERUCAMIDE,[5365371],75-80 °C
2628,DOCOSANOIC ACID,[8215],79.95 °C
2629,(Z)-9-OCTADECENENITRILE,"[8220, 6420241, 6537817]",-1 °C
2630,"1,1,2,3,3,3-HEXAFLUORO-1-PROPENE",[8302],-156.5 °C
2631,"2,4,6-TRIBROMOPHENOL",[1483],94-96 °C
2632,BIS(2-HYDROXY-3-TERT-BUTYL-5-METHYLPHENYL)METHANE,[8398],118-128 °C
2633,"N,N-DI(2-HYDROXYETHYL)LAURAMIDE",[8430],38.7 °C
2634,"DIETHYLENE GLYCOL, DIBENZOATE",[8437],-28 °C
2635,TRIMETHYL BORATE,[8470],-29.3 °C
2636,SULFANILIC ACID,[8479],288 °C decomposes without melting
2637,2-CHLORO-4-NITROTOLUENE,[8491],68 °C
2638,TRIISOPROPANOLAMINE,[24730],45 °C
2639,TRIOLEIN,"[31207, 5364673, 5497163, 45253964]",-4 °C
2640,2-PHENOXYETHANOL,[31236],14 °C
2641,4-ETHYLPHENOL,[31242],46 °C
2642,2-OCTANOL,[20083],-31.6 °C
2643,METHYL MYRISTATE,[31284],19 °C
2644,1-(2-BUTOXYETHOXY)-2-PROPANOL,[31287],FREEZING POINT -90 °C
2645,METHANESULFONYL CHLORIDE,[31297],Freezing point: -32 °C
2646,2-AMINO-2-METHYLPROPANOL,[11807],31 °C
2647,"3-BROMO-1-CHLORO-5,5-DIMETHYLHYDANTOIN",[31335],163-165 °C
2648,"2,3:4,5-DI(2-BUTENYL)TETRAHYDROFURFURAL",[31341],-80 °C
2649,DIPENTAERYTHRITOL,[31352],212-220 °C
2650,METHYLACRYLONITRILE,[31368],-35.8 °C
2651,BETA-PINENE,[14896],-61.5 °C
2652,"2,6-DI-TERT-BUTYLPHENOL",[31405],37 °C
2653,"2,4-Dihydroxybenzophenone",[8572],144 °C
2654,O-TOLYLSULFONYL CHLORIDE,[8623],10.2 °C
2655,Cobalt bis(2-ethylhexanoate),[8696],Melts in the range between 53-58 °C if heated in an aluminum crucible under nitrogen; melts under decomposition in the range between 64-84 °C if heated in an glass capillary under air
2656,SODIUM PHENOLATE,[4445035],384 °C
2657,"2,4-DINONYLPHENOL",[8735],ca. -13 °C
2658,2-METHYL-1-BUTANOL,[8723],FREEZING POINT: LESS THAN -70 °C
2659,TETRADECYLBENZYLDIMETHYLAMMONIUM CHLORIDE,[8755],60-61 °C
2660,TRISODIUM N-HYDROXYETHYLETHYLENEDIAMINETRIACETATE,[8772],288 °C (hydate)
2661,N-(2-Aminoethyl)piperazine,[8795],FP: 17.6 °C
2662,Ricinoleic acid,[643684],5.5 °C
2663,METHYL 12-HYDROXYSTEARATE,[8840],48 °C
2664,"Ricinoleic acid, methyl ester",[5354133],Freezing point: -4.5 °C
2665,DIALLYL DIGLYCOL CARBONATE,[8879],Freezing point: -4 °C
2666,"2,5-DIMETHYL-3-HEXYNE-2,5-DIOL",[8883],95 °C
2667,n-Hexyl Acetate,[8908],-80.9 °C
2668,POTASSIUM CIS-9-OCTADECENOIC ACID,"[23665571, 23707731, 44135690]",FREEZING POINT: 455-464 °F= 235-240 °C= 508-513 DEG K
2669,TRIETHYLENE GLYCOL MONOBUTYL ETHER,[8923],Freezing point: -35.2 °C
2670,SODIUM FORMALDEHYDESULFOXYLATE,[23689980],63-64 °C
2671,HYDROXYETHYLETHYLENEDIAMINETRIACETIC ACID,[8773],159 °C
2672,ETHYLXANTHATE,[8823],FREEZING POINT -53 °C
2673,"cis-1,2-Dichloroethylene",[643833],-80.0 °C
2674,(L)-MENTHOL,[16666],41-43 °C
2675,DIHYDROPINENE,[10129],-53 °C
2676,DEHYDROABIETYLAMINE,[62034],317.65 deg K
2677,3-HYDROXY-4-ISOPROPYL-1-METHYLCYCLOHEXENE,[10282],"MP: 36 °C; OPTICAL ROTATION: -246 DEG @ 17 °C (C= 2 IN BENZENE) /CIS-, L-/; MP: 28 °C /CIS-, DL-/"
2678,"4,6-DI-TERT-BUTYL-3-METHYLPHENOL",[10346],62.1 °C
2679,"GUANIDINE, MONONITRATE",[10481],214 °C
2680,1-TETRACOSANOL,[10472],77 °C
2681,AMMONIUM DITHIOCARBAMATE,[11083854],99 °C
2682,"2,3-DIMETHYLPHENOL",[10687],75 °C (also reported as 72.57 °C)
2683,"2,4,6-TRIMETHYLPHENOL",[10698],73 °C
2684,1-TETRALONE,[10724],8 °C
2685,2-HYDROXYTETRALIN,[10747],15.5 °C
2686,"1,2-DIBROMOETHYLENE","[10897, 637929, 643776]",Melting point: -6.5 °C /Trans-isomer/
2687,1-CHLOROPROPANE,[10899],-122.8 °C
2688,ISO-OCTANE,[10907],-107.45 °C
2689,DECAMETHYLCYCLOPENTASILOXANE,[10913],-38 °C
2690,N-BUTYLAMIDE,[10927],115-116 °C
2691,CHLORACETIC ANHYDRIDE,[10946],46 °C
2692,MYRISTIC ACID,[11005],53.9 °C
2693,METHYL LACTATE,[11040],Freezing Point: approximately -66 °C
2694,METHYL PROPIONATE,[11124],-87.5 °C
2695,TRIETHYLAMINE HYDROCHLORIDE,[11130],260 °C (decomposes)
2696,TRISTEARIN,[11146],"MP: 55 °C (ALPHA), 64.5 °C (BETA'), 73 °C (BETA)"
2697,METHYL THIOCYANATE,[11168],-51 °C
2698,1-Nitroguanidine,[86287517],239 °C (decomposes)
2699,2-CHLORO-1-PROPENE,[11203],-137.4 °C
2700,2-METHYL-1-BUTENE,[11240],-137.5 °C
2701,3-METHYL-1-BUTENE,[11239],-168.5 °C
2702,"2,6-DIMETHYLPHENOL",[11335],49 °C (also reported as 45.62 °C)
2703,2-ETHYLANILINE,[11357],-46.5 °C
2704,"2,6-DIETHYLANILINE",[11369],3.5 °C
2705,LEAD HYDROXIDE CARBONATE,[14834],"400 °C, decomposes"
2706,cis-2-Butene,[5287573],-138.89 °C
2707,"1,2-BUTADIENE",[11535],-136.2 °C
2708,POTASSIUM FORMATE,[2735122],167 °C
2709,TRIMETHYLAMMONIUM CHLORIDE,[10313079],277.5 °C
2710,"N,N-DIMETHYLETHYLAMINE",[11723],-140 °C
2711,2-CHLOROPROPANOIC ACID,[11734],-12.1 °C
2712,METHYLMALEIC ANHYDRIDE,[12012],7-8 °C
2713,2-PHENYLISOPROPANOL,[12053],36 °C
2714,4-FORMYLBENZOIC ACID,[12088],256 °C
2715,3-ETHYLPHENOL,[12101],-4 °C
2716,METHYL N-BUTYRATE,[12180],-85.8 °C
2717,DIETHYL FUMARATE,[638144],0.8 °C
2718,trans-2-Butene,[62695],-105.52 °C
2719,"1,3-DICYANOBENZENE",[12276],162 °C
2720,CIS-2-PENTENE,[5326160],-151.4 °C
2721,n-Tridecane,[12388],-5.35 °C
2722,n-Tetradecane,[12389],5.87 °C
2723,n-Pentadecane,[12391],9.95 °C
2724,N-HEXADEC-1-ENE,[12395],4.1 °C
2725,1-EICOSANOL,[12404],66.1 °C
2726,DIETHYL ISOPHTHALATE,[12491],11.5 °C
2727,ALUMINUM TRISTEARATE,[12496],118 °C
2728,OCTADECANONITRILE,[12532],41 °C
2729,TRANS-2-PENTENE,[5326161],-140.2 °C
2730,"1,3-DIOXOLANE",[12586],-95 °C
2731,1-DOCOSANOL,[12620],72.5 °C
2732,DODECANEDIOIC ACID,[12736],130-132 °C
2733,DISTEARYL THIODIPROPIONATE,[12738],61 °C
2734,"3,4-DICHLORO-1-BUTENE",[12971],-61 °C
2735,"1,2-BIS(2-CHLOROPHENYL) HYDRAZINE",[3032354],87 °C
2736,"1,4-BENZENEDIAMINE, N-(1,3-DIMETHYLBUTYL)-N'-PHENYL-",[13101],50 °C
2737,4-NITRODIPHENYLAMINE,[13271],133.5 °C
2738,3-(Triethoxysilyl)propylamine,[13521],-70 °C
2739,2-(2-AMINOETHOXY)ETHANOL,[13578],FP: -12.5 °C
2740,"2,3,6-TRICHLOROPHENOL",[13618],58 °C
2741,(HYDROXYMETHYL)UREA,[13842],111 °C
2742,TRI-N-OCTYLALUMINUM,[16682948],< -40 °C
2743,TRI-N-BUTYLALUMINUM,[16682950],-26.7 °C (Freezing point)
2744,TRI-N-HEXYLALUMINUM,[16682951],-87 °C
2745,TRI-N-OCTYLAMINE,[14227],-34.6 °C
2746,DIMETHYL GLUTARATE,[14242],-42.5 °C
2747,n-Undecane,[14257],-25.54 °C
2748,DIIRON MONOPHOSPHIDE,[71311066],1370 °C
2749,VANADIUM TRIOXIDE,[518710],1940 °C
2750,TUNGSTEN TRIOXIDE,[14811],1472 °C
2751,ZINC SULFIDE,[14821],1700 °C
2752,FERROUS SULFIDE,[14828],1194 °C
2753,DIISOOCTYL ADIPATE,[66932],-70 °C
2754,HYDROXYBENZENESULFONIC ACID,[11867],Melting Point = 145 °C /2-Hydroxybenzenesulfonic acid/
2755,DICERIUM TRIOXIDE,[11099499],2210 °C
2756,"1,4-DICHLORO-CIS-2-BUTENE",[6432115],-48 °C
2757,4-CHLORO-2-METHYLPHENOL,[14855],51 °C
2758,TRIALLYL PHOSPHATE,[15390],FP: BELOW -50 °C
2759,STRONTIUM CARBONATE,[15407],1494 °C
2760,Methyl t-butyl ether,[15413],-108.6 °C
2761,HYDROGEN METHYL TEREPHTHALATE,[15513],239 °C
2762,BIS(ISOBUTYL)ALUMINUM CHLORIDE,[15688],-40 °C
2763,2-HYDROXY-4-(OCTYLOXY)BENZOPHENONE,[15797],45-46 °C
2764,2-ISOPROPYLNAPHTHALENE,[16238],14.5 °C
2765,DIPENTYLAMINE,[16316],-7.85 °C
2766,PENTADECYLBENZENE,[16476],22 °C
2767,PENTACHLOROPYRIDINE,[16584],125.5 °C
2768,N-ISOPROPYLACRYLAMIDE,[16637],64 °C
2769,"2,3,5,6-TETRACHLOROPYRIDINE",[16990],90.5 °C
2770,2-T-BUTYL-4-METHYLPHENOL,[17004],55 °C
2771,"2,3,6-TRIMETHYLPHENOL",[17016],58 °C
2772,"TRIMETHYL 1,2,4-BENZENETRICARBOXYLATE",[17159],-13 °C
2773,Cyclotetramethylenetetranitramine,[17596],281 °C
2774,"1,4-BIS(ALPHA-(T-BUTYLDIOXY)ISOPROPYL)BENZENE",[17721],79 °C
2775,Dichloroisocyanuric acid,[16726],226.6 °C
2776,PENTAMETHYLPHENOL,[17783],128 °C
2777,"1,1,1-TRICHLORO-2,2-DIPHENYLETHANE",[18085],65 °C
2778,2-METHYLANILINE HYDROCHLORIDE,[12484],215 °C
2779,BENZENESULFONYL CHLORIDE,[7369],14.5 °C
2780,"1,3,5-Trinitrobenzene",[7434],121.3 °C
2781,BIS(2-CHLOROISOPROPYL) ETHER,[38307],-96.8 - 101.8 °C
2782,"1,4-DICHLORO-2-BUTENE","[15122, 642197, 6432115]",3.5 °C
2783,DITHALLIUM CARBONATE,"[23031, 16211721]",272 °C
2784,CARBONYL DIFLUORIDE,[9623],-111.26 °C
2785,BENZO(K)FLUORANTHENE,[9158],217 °C
2786,2-BROMOTOLUENE,[7236],-27.8 °C
2787,3-BROMOTOLUENE,[11560],-39.8 °C
2788,4-BROMOTOLUENE,[7805],28.5 °C
2789,n-Butyryl chloride,[8855],-89 °C
2790,O-CHLOROBENZOIC ACID,[8374],142 °C
2791,M-CHLOROBENZOIC ACID,[447],158 °C
2792,P-CHLOROBENZOIC ACID,[6318],243 °C
2793,"1,6-DIMETHYLNAPHTHALENE",[11328],-16.9 °C
2794,N-HEPTANAL,[8130],-43.3 °C
2795,3-NITROBENZOIC ACID,[8497],140-141 °C
2796,alpha-Hexachlorocyclohexane,[727],157.4 °C
2797,DIBENZYL ETHER,[7657],3.6 °C
2798,Sodium hypophosphite,[23675242],Decomposes above 238 °C (OECD Guideline 102)
2799,DICHLOROPHENE,[3037],177-178 °C
2800,1-ACETYL-2-THIOUREA,[2723593],165 °C
2801,Aluminum phosphide,[30332],"2,550 °C"
2802,MUSCIMOL,[4266],175 °C (decomposes)
2803,4-AMINOPYRIDINE,[1727],159.0 °C
2804,SELENOUREA,[6327594],200 °C (DECOMP)
2805,N-(2-CHLOROPHENYL)THIOUREA,[737139],146 °C
2806,3-CHLOROPROPANONITRILE,[10963],-51 °C
2807,PHENYLDICHLOROARSINE,[12762],fp: -20 °C
2808,THIOFANOX,"[38235, 5361043, 5364932]",56.5 TO 57.5 °C
2809,"2,4-DINITRO-6-CYCLOHEXYLPHENOL",[8540],106.5-107.5 °C
2810,FAMPHUR,[5859],52.5-53.5 °C
2811,ISODRIN,"[2087, 10066, 222548, 12310946, 12310948, 60196420, 99721706, 102090390]",240-242 °C
2812,1-AMINO-2-THIOUREA,[2723789],183 °C
2813,Mercury fulminate,[12359],Explodes
2814,PROPARGYL ALCOHOL,[7859],-48 to -52 °C
2815,THALLIC OXIDE,[3579754],717 °C
2816,THALLIUM SULFATE,[24833],632 °C
2817,SILVER CYANIDE,[10475],320 °C (decomposes)
2818,PERCHLOROPROPENE,[15902],-72.9 °C
2819,LASIOCARPINE,"[613201, 5281735, 5355259, 5376266, 5458664, 6321388, 6325507, 12358996, 12358997, 91735630, 134159362, 146158541]",96.4-97 °C
2820,SELENIOUS ACID,[1091],70 °C with decomposition.
2821,THALLOUS CHLORIDE,[24642],430 °C
2822,THALLOUS NITRATE,[24937],Alpha isomer: 206 °C: Beta isomer: transition point at 145 °C to alpha form; Gamma: transition point at 75 °C to beta form.
2823,"3,4-DIAMINOTOLUENE",[10332],80-90 °C
2824,DI-N-BUTYLTIN DICHLORIDE,[12688],43 °C
2825,MONO-N-BUTYLTIN TRICHLORIDE,[14236],-63 °C
2826,TETRA-N-BUTYLTIN,[15098],-97 °C
2827,"2,3-DIAMINOTOLUENE",[17593],63.5 °C
2828,"2,6-DINITRO-4-CHLOROANILINE",[21484],147 °C
2829,2-CHLORO-5-NITROANILINE,[22691],121 °C
2830,SODIUM ACRYLATE,[4068533],>300 °C
2831,DIPHENYL CRESYL PHOSPHATE,[66586293],Freezing point: -38 °C
2832,"1,2-Bis(2,4,6-tribromophenoxy)ethane",[37840],222 °C
2833,T-BUTYLPHENYL DIPHENYL PHOSPHATE,[158333],-21 °C /pour point/
2834,2-ETHYLBUTYL ACRYLATE,[19855],-70 °C
2835,AMINOXYSCOPOLAMINE HYDROBROMIDE,"[1258, 64665, 521949, 3000667, 5351564, 6419978, 44630475, 91659059, 129655825, 133126671]",135-138 °C
2836,2-(TERT-BUTYLAMINO)ETHYL METHACRYLATE,[19601],< -70 °C
2837,N-ETHYL-N-BENZYLANILINE,[7098],34 °C
2838,1-BROMO-2-CHLOROETHANE,[7849],-16.7 °C
2839,TETRAHYDROTHIOPHENE,[1127],-96.16 °C
2840,PENTACHLOROTHIOPHENOL,[8620],231.5 °C
2841,"3,4-DICHLOROBENZOTRIFLUORIDE",[9481],-13 to -12 °C
2842,Carbonyl sulfide,[10039],-138.8 °C
2843,TRIS(P-AMINOPHENYL)METHANOL,[10084],Melting point with decomposition - 205 °C
2844,OCTAMETHYLCYCLOTETRASILOXANE,[11169],17.5 °C
2845,HEXAMETHYLENE DIISOCYANATE,[13192],-67 °C (-89 °F)
2846,"1,3,5-TRIS(2-HYDROXYETHYL) ISOCYANURATE",[13286],135 °C
2847,DIDECYL PHENYL PHOSPHITE,[14741],BELOW 0 °C
2848,DIMETHYL ISOPHTHALATE,[15088],67.5 °C
2849,"TRANS-1,3-PENTADIENE",[62204],-87.5 °C
2850,TRIS(2-ETHYLHEXYL) TRIMELLITATE,[18725],-46 °C
2851,"1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane",[18728],70-77 °C
2852,TERBUTHYLAZINE,[22206],175.5 °C
2853,BIS(2-ETHYLHEXYL) TEREPHTHALATE,[22932],-48 °C
2854,METHYLBIPHENYL,[12563],Melting point: 2-methyl: -0.2 °C; 3-methyl: 4.5 °C; 4-methyl: 49-50 °C.
2855,P-CHLOROPHENYL PHENYL ETHER,[23436],-8 °C
2856,BENZO(GHI)PERYLENE,[9117],278.3 °C
2857,ENDOSULFAN SULFATE,"[13940, 13766811, 71312398]",181-182 °C
2858,ENDRIN ALDEHYDE,"[522524, 12147604, 134688303, 138394063]","Melting point: 235 °C, with decomposition"
2859,HEPTACHLOR EPOXIDE,"[13930, 12054527, 15559699, 15559705, 15559706, 16212247, 122390596, 138394051]",160-161.5 °C
2860,beta-Hexachlorocyclohexane,[727],309 °C
2861,delta-Hexachlorocyclohexane,[727],137.0 °C
2862,LEAD CHROMATE OXIDE,[29078],920 °C
2863,ZINC CHROMATE,[26089],316 °C
2864,BARIUM CHROMATE,[25136],1400 °C (decomposes)
2865,2-METHYL-1-NITROANTHRAQUINONE,[31426],270-271 °C
2866,"TOLUENE-2,6-DIAMINE, DIHYDROCHLORIDE",[27324],274 °C
2867,APHOLATE,[5845],147.5 °C (CRYSTALLIZED FROM HEPTANE); 154-154.5 °C (CRYSTALLIZED FROM ETHYLACETATE)
2868,"1,2-BENZENEDIAMINE DIHYDROCHLORIDE",[11990],250 °C (decomposes)
2869,"4-ETHOXY-1,2-BENZENEDIAMINE",[14532],71.5 °C
2870,"3,5-DIAMINOTOLUENE",[7951],LESS THAN 0 °C
2871,"4-NITRO-1,3-BENZENEDIAMINE",[21208],161 °C
2872,"2,5-DICHLORO-1,4-BENZENEDIAMINE",[29949],170 °C
2873,"2-METHOXY-1,4-BENZENEDIAMINE",[21379],107 °C
2874,"2-METHYL-1,4-BENZENEDIAMINE",[7252],64 °C
2875,AMMONIUM FLUOBORATE,[9964072],487 °C (decomposes)
2876,AMMONIUM FLUORIDE,[25516],238 °C
2877,LEAD FLUORIDE,[24549],830 °C
2878,DITHALLIUM SULFATE,[24833],632 °C
2879,2-PENTYL ACETATE,[12278],-78.5 °C
2880,"3,4,5-TRICHLOROPHENOL",[11859],101 °C
2881,"2,5-Dinitrophenol",[9492],108 °C
2882,AMMONIUM CARBONATE,[517111],58 °C (decomposes)
2883,"2,6-Dinitrophenol",[11312],63.5 °C
2884,"2,4-D BUTOXYETHYL ESTER",[16002],Liquid at room temperature
2885,LEAD SULFATE,[24008],1170 °C
